fecha,expediente,razon_social,area_m2,numero_pisos,nivel_riesgo,vigencia,giro_alquiler,giro_bar,giro_botica,giro_cafeteria,giro_comercio,giro_deportivo,giro_distribuidora,giro_educacion,giro_elaboracion,giro_evento,giro_farmacia,giro_ferreteria,giro_gimnasio,giro_hospedaje,giro_hotel,giro_industrial,giro_licoreria,giro_mineria,giro_panaderia,giro_poligono,giro_quimicos,giro_restaurante,giro_salud,giro_servicios,giro_transporte,horario_atencion_24 horas,horario_atencion_horario especial,horario_atencion_mañana,horario_atencion_noche,horario_atencion_tarde,nivel_riesgo_encoded
10/05/2023,005319-2023-01,REST. BAR BRISASS,147,2,alto,18/05/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
11/05/2023,007265-2023-01,INVERSIONES FEJA E.I.R.L.,22,1,medio,19/05/2023,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
12/05/2023,007293-2023-01,FARMACIA ECO FARMA,20,1,medio,23/05/2025,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
15/05/2023,007369-2023-01,BOTICA PACIFICO,30,1,medio,23/05/2025,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
15/05/2023,007399-2023-01,CLUB DEPORTIVO UCV EL MILAGRO,113,2,muy alto,01/06/2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
17/05/2023,007478-2023-01,CEVICHERIA RESTAURANT FREEMAR,23,1,medio,29/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
17/05/2023,007534-2023-01,BODEGA CANAAN,24,1,medio,29/05/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
19/05/2023,007688-2023-01,FERRETERÍA REMODELAR,21,1,medio,01/06/2025,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
22/05/2023,007743-2023-01,TRUJILLO PAN,21,1,medio,14/06/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
23/05/2023,007819-2023-01,MINIMARKT. AL ESTILO JULIANA,20,1,medio,12/06/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
26/05/2023,008042-2023-01,PROMPERÚ - IPERU HUANCHACO,59,1,medio,12/06/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
